id,district,latitude,longitude,crop_type,soil_type,field_area_ha,season,avg_temp_c,total_rainfall_mm,fertilizer_type,motor_type,motor_power_hp,flow_rate_lpm,yield_ton_per_ha,water_requirement_liters,irrigation_hours
201,Rahim Yar Khan,28.4209,70.2952,cotton,loam,2.56,Kharif,33.9,297.0,None,Small,3,60,2.3,1331200,369.8
202,Quetta,30.1798,66.975,sugarcane,clay loam,20.46,Kharif,33.7,515.8,None,Extra Heavy,30,900,63.7,15345000,284.2
203,Kasur,31.1155,74.4466,gram,loamy sand,12.25,Rabi,23.5,131.8,NPK,Heavy,20,600,1.9,4287500,119.1
204,Rahim Yar Khan,28.4209,70.2952,cotton,loam,26.33,Kharif,33.4,305.4,Urea,Mega,40,1200,1.8,13691600,190.2
205,Faisalabad,31.4504,73.135,maize,loam,5.7,Kharif,27.5,250.5,NPK,Upper Medium,7,200,3.2,2736000,228.0
206,Rawalpindi,33.5651,73.0169,rice,clay,20.18,Kharif,32.5,564.5,FYM,Extra Heavy,30,900,4.6,13722400,254.1
207,Karachi,24.8607,67.0011,potato,sandy loam,22.93,Rabi,18.4,241.9,Urea,Extra Heavy,30,900,2.0,9172000,169.9
208,Karachi,24.8607,67.0011,wheat,clay loam,32.33,Rabi,17.5,306.3,NPK,Mega,40,1200,4.4,14548500,202.1
209,Peshawar,34.0151,71.5249,sugarcane,clay loam,15.21,Kharif,32.5,408.0,Urea,Extra Heavy,30,900,60.3,11407500,211.2
210,Karachi,24.8607,67.0011,maize,sandy loam,11.75,Kharif,23.9,367.3,NPK,Heavy,20,600,3.2,5640000,156.7
211,Rawalpindi,33.5651,73.0169,maize,sandy loam,8.49,Kharif,21.4,463.6,FYM,Large,10,300,3.2,4075200,226.4
212,Gujrat,32.5742,74.0754,gram,sandy loam,47.85,Rabi,16.5,232.0,None,Ultra,50,1500,1.9,16747500,186.1
213,Sukkur,27.7132,68.8482,cotton,loam,44.96,Kharif,27.6,217.7,DAP,Ultra,50,1500,1.7,23379200,259.8
214,Sukkur,27.7132,68.8482,gram,sandy loam,45.07,Rabi,17.5,148.7,Urea,Ultra,50,1500,2.1,15774500,175.3
215,Peshawar,34.0151,71.5249,gram,sandy loam,1.9,Rabi,22.2,120.0,DAP,Small,3,60,2.1,665000,184.7
216,Islamabad,33.6844,73.0479,wheat,silty loam,6.38,Rabi,17.4,261.0,DAP,Upper Medium,7,200,3.9,2871000,239.2
217,Gujranwala,32.1877,74.1945,sugarcane,loam,1.02,Kharif,34.9,556.3,DAP,Small,3,60,64.8,765000,212.5
218,Rawalpindi,33.5651,73.0169,sugarcane,loam,13.69,Kharif,32.6,425.6,Urea,Heavy,20,600,63.6,10267500,285.2
219,Bahawalpur,29.3956,71.6836,gram,sandy loam,47.67,Rabi,19.1,157.0,DAP,Ultra,50,1500,2.1,16684500,185.4
220,Rahim Yar Khan,28.4209,70.2952,rice,clay,11.9,Kharif,31.0,501.2,None,Heavy,20,600,4.4,8092000,224.8
221,Rahim Yar Khan,28.4209,70.2952,sugarcane,clay loam,38.44,Kharif,27.5,565.8,DAP,Mega,40,1200,67.1,28830000,400.4
222,Islamabad,33.6844,73.0479,sugarcane,loam,1.71,Kharif,31.5,490.1,Urea,Small,3,60,63.7,1282500,356.2
223,Peshawar,34.0151,71.5249,sugarcane,clay loam,6.84,Kharif,31.7,540.3,FYM,Upper Medium,7,200,54.2,5130000,427.5
224,Islamabad,33.6844,73.0479,rice,clay,26.31,Kharif,31.1,604.1,FYM,Mega,40,1200,4.0,17890800,248.5
225,Karachi,24.8607,67.0011,gram,loamy sand,39.83,Rabi,23.8,186.1,None,Mega,40,1200,2.3,13940500,193.6
226,Quetta,30.1798,66.975,rice,clay,12.4,Kharif,29.9,624.6,NPK,Heavy,20,600,3.6,8432000,234.2
227,Peshawar,34.0151,71.5249,gram,sandy loam,27.0,Rabi,24.7,214.8,NPK,Mega,40,1200,1.7,9450000,131.2
228,Peshawar,34.0151,71.5249,rice,clay loam,1.42,Kharif,34.6,521.7,None,Small,3,60,3.7,965600,268.2
229,Peshawar,34.0151,71.5249,wheat,silty loam,38.08,Rabi,20.3,382.2,DAP,Mega,40,1200,4.1,17136000,238.0
230,Gujranwala,32.1877,74.1945,rice,clay loam,9.28,Kharif,27.5,682.5,NPK,Large,10,300,4.2,6310400,350.6
231,Lahore,31.5204,74.3587,wheat,loam,16.75,Rabi,16.8,257.5,FYM,Extra Heavy,30,900,4.1,7537500,139.6
232,Sheikhupura,31.7131,73.9783,potato,loam,11.98,Rabi,24.8,330.9,DAP,Heavy,20,600,3.2,4792000,133.1
233,Multan,30.1575,71.5249,maize,sandy loam,23.43,Kharif,21.7,271.5,None,Extra Heavy,30,900,3.8,11246400,208.3
234,Rawalpindi,33.5651,73.0169,maize,sandy loam,19.53,Kharif,23.7,444.6,Urea,Extra Heavy,30,900,3.1,9374400,173.6
235,Sheikhupura,31.7131,73.9783,potato,sandy loam,45.52,Rabi,22.2,345.9,None,Ultra,50,1500,3.0,18208000,202.3
236,Lahore,31.5204,74.3587,sugarcane,clay loam,36.18,Kharif,30.8,582.6,None,Mega,40,1200,59.6,27135000,376.9
237,Quetta,30.1798,66.975,cotton,loam,7.63,Kharif,25.8,262.7,None,Large,10,300,2.9,3967600,220.4
238,Kasur,31.1155,74.4466,maize,sandy loam,25.73,Kharif,25.3,404.8,FYM,Mega,40,1200,3.9,12350400,171.5
239,Islamabad,33.6844,73.0479,wheat,loam,34.33,Rabi,15.2,240.4,NPK,Mega,40,1200,3.7,15448500,214.6
240,Multan,30.1575,71.5249,rice,clay loam,46.35,Kharif,31.3,720.4,DAP,Ultra,50,1500,3.8,31518000,350.2
241,Sukkur,27.7132,68.8482,wheat,clay loam,11.02,Rabi,19.0,246.4,DAP,Heavy,20,600,3.3,4959000,137.8
242,Sahiwal,30.6705,73.1063,gram,sandy loam,13.86,Rabi,16.7,227.4,FYM,Heavy,20,600,1.6,4851000,134.8
243,Sialkot,32.4922,74.5311,rice,clay,14.19,Kharif,34.4,794.9,DAP,Heavy,20,600,4.2,9649200,268.0
244,Sahiwal,30.6705,73.1063,gram,sandy loam,23.07,Rabi,23.1,132.1,NPK,Extra Heavy,30,900,1.8,8074500,149.5
245,Kasur,31.1155,74.4466,cotton,sandy loam,42.31,Kharif,33.2,248.3,NPK,Ultra,50,1500,2.5,22001200,244.5
246,Rawalpindi,33.5651,73.0169,maize,loam,29.92,Kharif,25.2,333.0,None,Mega,40,1200,3.1,14361600,199.5
247,Jhang,31.2682,72.3184,gram,sandy loam,11.26,Rabi,19.6,227.9,None,Heavy,20,600,1.9,3941000,109.5
248,Bahawalpur,29.3956,71.6836,wheat,silty loam,12.73,Rabi,22.4,244.3,FYM,Heavy,20,600,3.7,5728500,159.1
249,Islamabad,33.6844,73.0479,wheat,loam,45.92,Rabi,15.4,348.2,FYM,Ultra,50,1500,3.2,20664000,229.6
250,Rahim Yar Khan,28.4209,70.2952,maize,loam,37.86,Kharif,27.8,422.6,FYM,Mega,40,1200,3.4,18172800,252.4
251,Quetta,30.1798,66.975,potato,loam,40.47,Rabi,15.1,225.6,FYM,Ultra,50,1500,2.3,16188000,179.9
252,Bahawalpur,29.3956,71.6836,cotton,sandy loam,29.48,Kharif,30.0,245.2,FYM,Mega,40,1200,2.8,15329600,212.9
253,Multan,30.1575,71.5249,rice,clay loam,39.22,Kharif,30.6,508.7,None,Mega,40,1200,4.3,26669600,370.4
254,Jhang,31.2682,72.3184,gram,loamy sand,41.68,Rabi,17.5,115.6,Urea,Ultra,50,1500,1.6,14588000,162.1
255,Gujranwala,32.1877,74.1945,cotton,sandy loam,6.0,Kharif,27.3,194.8,NPK,Upper Medium,7,200,2.3,3120000,260.0
256,Faisalabad,31.4504,73.135,gram,loamy sand,25.37,Rabi,19.7,130.0,DAP,Mega,40,1200,2.5,8879500,123.3
257,Bahawalpur,29.3956,71.6836,cotton,loam,32.77,Kharif,25.9,189.7,None,Mega,40,1200,2.0,17040400,236.7
258,Rahim Yar Khan,28.4209,70.2952,potato,loam,23.31,Rabi,21.4,206.3,DAP,Extra Heavy,30,900,3.4,9324000,172.7
259,Sargodha,32.0836,72.6711,gram,loamy sand,4.04,Rabi,16.0,138.3,Urea,Medium,5,120,1.8,1414000,196.4
260,Sukkur,27.7132,68.8482,wheat,silty loam,5.08,Rabi,18.8,258.1,None,Upper Medium,7,200,4.4,2286000,190.5
261,Faisalabad,31.4504,73.135,rice,clay,20.6,Kharif,30.7,601.7,DAP,Extra Heavy,30,900,3.5,14008000,259.4
262,Multan,30.1575,71.5249,sugarcane,clay loam,27.38,Kharif,27.4,470.7,FYM,Mega,40,1200,55.0,20535000,285.2
263,Jhang,31.2682,72.3184,sugarcane,loam,13.95,Kharif,28.0,528.7,None,Heavy,20,600,61.6,10462500,290.6
264,Gujranwala,32.1877,74.1945,sugarcane,clay loam,48.44,Kharif,26.5,544.2,FYM,Ultra,50,1500,57.6,36330000,403.7
265,Peshawar,34.0151,71.5249,cotton,sandy loam,35.41,Kharif,26.8,237.8,None,Mega,40,1200,2.9,18413200,255.7
266,Rawalpindi,33.5651,73.0169,wheat,loam,23.84,Rabi,21.8,391.5,FYM,Extra Heavy,30,900,4.2,10728000,198.7
267,Lahore,31.5204,74.3587,wheat,clay loam,6.95,Rabi,19.3,307.0,None,Upper Medium,7,200,3.3,3127500,260.6
268,Sheikhupura,31.7131,73.9783,rice,clay loam,7.14,Kharif,25.8,562.0,Urea,Large,10,300,4.7,4855200,269.7
269,Gujranwala,32.1877,74.1945,gram,sandy loam,28.48,Rabi,15.8,222.4,Urea,Mega,40,1200,1.9,9968000,138.4
270,Bahawalpur,29.3956,71.6836,sugarcane,clay loam,43.36,Kharif,29.6,540.4,Urea,Ultra,50,1500,51.8,32520000,361.3
271,Rawalpindi,33.5651,73.0169,gram,loamy sand,14.0,Rabi,17.0,248.0,None,Heavy,20,600,2.0,4900000,136.1
272,Okara,30.8103,73.4513,maize,loam,5.42,Kharif,28.7,442.1,Urea,Upper Medium,7,200,4.2,2601600,216.8
273,Bahawalpur,29.3956,71.6836,cotton,loam,15.48,Kharif,28.7,171.1,DAP,Extra Heavy,30,900,2.7,8049600,149.1
274,Gujranwala,32.1877,74.1945,cotton,sandy loam,32.6,Kharif,26.4,179.0,Urea,Mega,40,1200,2.7,16952000,235.4
275,Faisalabad,31.4504,73.135,rice,clay,37.37,Kharif,28.6,559.8,NPK,Mega,40,1200,4.4,25411600,352.9
276,Rawalpindi,33.5651,73.0169,gram,sandy loam,14.89,Rabi,19.1,243.4,DAP,Heavy,20,600,2.2,5211500,144.8
277,Rahim Yar Khan,28.4209,70.2952,gram,sandy loam,9.59,Rabi,24.4,236.0,Urea,Large,10,300,1.7,3356500,186.5
278,Sialkot,32.4922,74.5311,potato,sandy loam,25.56,Rabi,17.4,263.8,NPK,Mega,40,1200,2.8,10224000,142.0
279,Jhang,31.2682,72.3184,sugarcane,clay loam,5.78,Kharif,26.4,477.9,DAP,Upper Medium,7,200,54.6,4335000,361.2
280,Rahim Yar Khan,28.4209,70.2952,cotton,loam,43.54,Kharif,28.1,216.2,DAP,Ultra,50,1500,2.6,22640800,251.6
281,Gujrat,32.5742,74.0754,potato,loam,30.27,Rabi,19.6,291.5,Urea,Mega,40,1200,3.5,12108000,168.2
282,Islamabad,33.6844,73.0479,cotton,loam,39.08,Kharif,33.7,315.5,Urea,Mega,40,1200,2.0,20321600,282.2
283,Faisalabad,31.4504,73.135,rice,clay loam,10.27,Kharif,29.2,721.9,None,Heavy,20,600,4.9,6983600,194.0
284,Faisalabad,31.4504,73.135,sugarcane,loam,12.57,Kharif,30.7,550.9,Urea,Heavy,20,600,51.3,9427500,261.9
285,Bahawalpur,29.3956,71.6836,sugarcane,clay loam,11.11,Kharif,31.6,586.6,None,Heavy,20,600,68.6,8332500,231.5
286,Jhang,31.2682,72.3184,gram,loamy sand,42.15,Rabi,16.2,191.7,NPK,Ultra,50,1500,1.7,14752500,163.9
287,Sialkot,32.4922,74.5311,potato,sandy loam,27.87,Rabi,18.4,242.2,None,Mega,40,1200,2.7,11148000,154.8
288,Islamabad,33.6844,73.0479,gram,loamy sand,9.5,Rabi,22.4,143.5,NPK,Large,10,300,1.6,3325000,184.7
289,Sargodha,32.0836,72.6711,potato,sandy loam,4.99,Rabi,23.2,244.6,Urea,Medium,5,120,2.4,1996000,277.2
290,Jhang,31.2682,72.3184,sugarcane,clay loam,46.65,Kharif,27.4,423.0,None,Ultra,50,1500,66.0,34987500,388.8
291,Faisalabad,31.4504,73.135,sugarcane,loam,13.06,Kharif,28.3,460.1,FYM,Heavy,20,600,59.9,9795000,272.1
292,Gujranwala,32.1877,74.1945,rice,clay loam,44.82,Kharif,33.4,558.4,NPK,Ultra,50,1500,4.3,30477600,338.6
293,Jhang,31.2682,72.3184,sugarcane,clay loam,25.09,Kharif,25.4,497.4,NPK,Mega,40,1200,59.1,18817500,261.4
294,Rahim Yar Khan,28.4209,70.2952,sugarcane,loam,29.7,Kharif,30.8,594.0,DAP,Mega,40,1200,50.4,22275000,309.4
295,Peshawar,34.0151,71.5249,maize,sandy loam,24.35,Kharif,27.1,253.5,NPK,Extra Heavy,30,900,3.0,11688000,216.4
296,Lahore,31.5204,74.3587,sugarcane,clay loam,36.74,Kharif,25.2,529.1,FYM,Mega,40,1200,52.9,27555000,382.7
297,Sukkur,27.7132,68.8482,gram,sandy loam,44.09,Rabi,23.7,230.9,Urea,Ultra,50,1500,1.5,15431500,171.5
298,Quetta,30.1798,66.975,gram,loamy sand,37.78,Rabi,19.2,100.4,FYM,Mega,40,1200,1.7,13223000,183.7
299,Okara,30.8103,73.4513,sugarcane,loam,30.15,Kharif,27.0,425.2,NPK,Mega,40,1200,57.3,22612500,314.1
300,Rawalpindi,33.5651,73.0169,maize,loam,13.62,Kharif,26.4,385.3,FYM,Heavy,20,600,4.1,6537600,181.6
301,Bahawalpur,29.3956,71.6836,maize,sandy loam,42.13,Kharif,28.2,284.9,DAP,Ultra,50,1500,3.1,20222400,224.7
302,Rahim Yar Khan,28.4209,70.2952,potato,sandy loam,28.4,Rabi,24.2,208.3,DAP,Mega,40,1200,2.9,11360000,157.8
303,Sheikhupura,31.7131,73.9783,maize,sandy loam,7.55,Kharif,28.7,495.2,Urea,Large,10,300,3.7,3624000,201.3
304,Sukkur,27.7132,68.8482,gram,loamy sand,18.08,Rabi,22.1,146.2,None,Extra Heavy,30,900,2.0,6328000,117.2
305,Gujranwala,32.1877,74.1945,gram,sandy loam,38.06,Rabi,24.2,182.4,None,Mega,40,1200,2.1,13321000,185.0
306,Bahawalpur,29.3956,71.6836,rice,clay,14.9,Kharif,34.4,503.9,DAP,Heavy,20,600,4.0,10132000,281.4
307,Bahawalpur,29.3956,71.6836,wheat,loam,27.19,Rabi,24.0,207.6,None,Mega,40,1200,4.0,12235500,169.9
308,Rahim Yar Khan,28.4209,70.2952,cotton,sandy loam,26.89,Kharif,29.6,219.0,NPK,Mega,40,1200,2.9,13982800,194.2
309,Rawalpindi,33.5651,73.0169,potato,loam,25.56,Rabi,21.5,321.3,NPK,Mega,40,1200,2.8,10224000,142.0
310,Jhang,31.2682,72.3184,wheat,silty loam,14.38,Rabi,17.8,287.0,DAP,Heavy,20,600,3.7,6471000,179.8
311,Gujrat,32.5742,74.0754,wheat,clay loam,44.44,Rabi,15.6,321.8,FYM,Ultra,50,1500,3.1,19998000,222.2
312,Sahiwal,30.6705,73.1063,maize,loam,19.85,Kharif,26.0,280.1,None,Extra Heavy,30,900,3.3,9528000,176.4
313,Bahawalpur,29.3956,71.6836,wheat,loam,14.66,Rabi,23.3,295.7,Urea,Heavy,20,600,4.2,6597000,183.2
314,Rawalpindi,33.5651,73.0169,maize,loam,7.33,Kharif,20.7,413.7,DAP,Large,10,300,3.9,3518400,195.5
315,Sheikhupura,31.7131,73.9783,cotton,loam,12.51,Kharif,30.0,178.7,DAP,Heavy,20,600,2.9,6505200,180.7
316,Sialkot,32.4922,74.5311,rice,clay loam,34.75,Kharif,31.2,793.3,FYM,Mega,40,1200,3.7,23630000,328.2
317,Bahawalpur,29.3956,71.6836,cotton,loam,27.57,Kharif,29.7,235.4,None,Mega,40,1200,1.7,14336400,199.1
318,Jhang,31.2682,72.3184,potato,loam,3.19,Rabi,19.9,280.0,FYM,Medium,5,120,2.2,1276000,177.2
319,Sukkur,27.7132,68.8482,gram,sandy loam,29.18,Rabi,18.1,194.9,DAP,Mega,40,1200,1.9,10213000,141.8
320,Rawalpindi,33.5651,73.0169,cotton,sandy loam,20.13,Kharif,28.4,315.1,NPK,Extra Heavy,30,900,2.8,10467600,193.8
321,Sukkur,27.7132,68.8482,sugarcane,clay loam,23.25,Kharif,34.8,482.9,FYM,Extra Heavy,30,900,62.4,17437500,322.9
322,Faisalabad,31.4504,73.135,sugarcane,clay loam,9.31,Kharif,30.9,559.6,Urea,Large,10,300,59.0,6982500,387.9
323,Peshawar,34.0151,71.5249,rice,clay,11.5,Kharif,31.5,549.6,FYM,Heavy,20,600,3.5,7820000,217.2
324,Sheikhupura,31.7131,73.9783,wheat,silty loam,28.83,Rabi,23.2,284.8,None,Mega,40,1200,4.5,12973500,180.2
325,Karachi,24.8607,67.0011,sugarcane,loam,45.0,Kharif,33.2,506.1,Urea,Ultra,50,1500,62.2,33750000,375.0
326,Quetta,30.1798,66.975,maize,loam,14.31,Kharif,27.1,406.1,NPK,Heavy,20,600,4.0,6868800,190.8
327,Multan,30.1575,71.5249,sugarcane,loam,18.17,Kharif,26.8,527.7,DAP,Extra Heavy,30,900,52.5,13627500,252.4
328,Quetta,30.1798,66.975,potato,loam,35.94,Rabi,16.6,314.6,FYM,Mega,40,1200,2.4,14376000,199.7
329,Quetta,30.1798,66.975,sugarcane,loam,24.41,Kharif,27.3,584.5,FYM,Extra Heavy,30,900,52.6,18307500,339.0
330,Sahiwal,30.6705,73.1063,cotton,loam,12.97,Kharif,29.5,183.6,NPK,Heavy,20,600,2.7,6744400,187.3
331,Gujrat,32.5742,74.0754,cotton,sandy loam,18.86,Kharif,29.4,316.2,NPK,Extra Heavy,30,900,2.4,9807200,181.6
332,Peshawar,34.0151,71.5249,gram,sandy loam,9.45,Rabi,19.1,179.5,None,Large,10,300,2.4,3307500,183.7
333,Rahim Yar Khan,28.4209,70.2952,wheat,loam,34.8,Rabi,18.1,334.7,None,Mega,40,1200,3.3,15660000,217.5
334,Sahiwal,30.6705,73.1063,potato,loam,17.72,Rabi,17.0,208.1,NPK,Extra Heavy,30,900,2.8,7088000,131.3
335,Okara,30.8103,73.4513,sugarcane,loam,48.06,Kharif,29.3,438.4,Urea,Ultra,50,1500,62.9,36045000,400.5
336,Sheikhupura,31.7131,73.9783,sugarcane,clay loam,45.92,Kharif,27.2,573.3,None,Ultra,50,1500,58.8,34440000,382.7
337,Faisalabad,31.4504,73.135,gram,sandy loam,4.45,Rabi,19.0,154.1,None,Medium,5,120,1.9,1557500,216.3
338,Sheikhupura,31.7131,73.9783,cotton,loam,14.18,Kharif,29.8,321.7,DAP,Heavy,20,600,2.2,7373600,204.8
339,Jhang,31.2682,72.3184,rice,clay loam,40.83,Kharif,27.1,773.1,FYM,Ultra,50,1500,4.0,27764400,308.5
340,Quetta,30.1798,66.975,gram,loamy sand,49.17,Rabi,19.6,241.0,Urea,Ultra,50,1500,2.2,17209500,191.2
341,Karachi,24.8607,67.0011,wheat,silty loam,13.22,Rabi,23.7,357.1,Urea,Heavy,20,600,3.9,5949000,165.2
342,Rawalpindi,33.5651,73.0169,maize,sandy loam,42.45,Kharif,27.6,373.0,DAP,Ultra,50,1500,3.6,20376000,226.4
343,Lahore,31.5204,74.3587,sugarcane,loam,38.31,Kharif,32.7,557.6,FYM,Mega,40,1200,67.2,28732500,399.1
344,Lahore,31.5204,74.3587,maize,loam,21.73,Kharif,27.1,297.9,FYM,Extra Heavy,30,900,4.1,10430400,193.2
345,Karachi,24.8607,67.0011,gram,sandy loam,33.46,Rabi,22.4,246.6,FYM,Mega,40,1200,1.5,11711000,162.7
346,Sukkur,27.7132,68.8482,rice,clay,25.8,Kharif,28.3,797.7,Urea,Mega,40,1200,4.4,17544000,243.7
347,Bahawalpur,29.3956,71.6836,wheat,loam,40.76,Rabi,17.0,251.2,FYM,Ultra,50,1500,4.1,18342000,203.8
348,Bahawalpur,29.3956,71.6836,potato,loam,18.03,Rabi,16.6,215.4,None,Extra Heavy,30,900,2.4,7212000,133.6
349,Rahim Yar Khan,28.4209,70.2952,maize,loam,35.54,Kharif,29.3,485.8,DAP,Mega,40,1200,3.7,17059200,236.9
350,Jhang,31.2682,72.3184,wheat,loam,38.19,Rabi,15.9,297.6,Urea,Mega,40,1200,3.1,17185500,238.7
351,Karachi,24.8607,67.0011,sugarcane,clay loam,14.57,Kharif,26.4,523.8,None,Heavy,20,600,52.3,10927500,303.5
352,Sargodha,32.0836,72.6711,cotton,sandy loam,11.32,Kharif,28.4,202.7,NPK,Heavy,20,600,2.4,5886400,163.5
353,Sahiwal,30.6705,73.1063,wheat,silty loam,34.86,Rabi,19.2,257.5,None,Mega,40,1200,4.2,15687000,217.9
354,Kasur,31.1155,74.4466,rice,clay,23.45,Kharif,25.5,620.7,FYM,Extra Heavy,30,900,4.4,15946000,295.3
355,Rahim Yar Khan,28.4209,70.2952,cotton,sandy loam,20.94,Kharif,30.9,267.9,FYM,Extra Heavy,30,900,2.8,10888800,201.6
356,Bahawalpur,29.3956,71.6836,wheat,silty loam,10.05,Rabi,23.4,251.1,None,Heavy,20,600,3.8,4522500,125.6
357,Bahawalpur,29.3956,71.6836,gram,sandy loam,34.08,Rabi,23.6,217.0,None,Mega,40,1200,1.5,11928000,165.7
358,Bahawalpur,29.3956,71.6836,rice,clay loam,46.64,Kharif,25.7,572.6,Urea,Ultra,50,1500,4.3,31715200,352.4
359,Multan,30.1575,71.5249,potato,sandy loam,15.1,Rabi,21.5,342.4,Urea,Extra Heavy,30,900,3.2,6040000,111.9
360,Karachi,24.8607,67.0011,rice,clay,30.5,Kharif,29.0,641.7,Urea,Mega,40,1200,4.4,20740000,288.1
361,Jhang,31.2682,72.3184,maize,loam,11.33,Kharif,27.3,460.5,FYM,Heavy,20,600,3.8,5438400,151.1
362,Faisalabad,31.4504,73.135,sugarcane,loam,45.08,Kharif,33.6,508.3,DAP,Ultra,50,1500,50.5,33810000,375.7
363,Karachi,24.8607,67.0011,potato,sandy loam,29.87,Rabi,23.0,272.1,None,Mega,40,1200,2.7,11948000,165.9
364,Faisalabad,31.4504,73.135,sugarcane,clay loam,10.15,Kharif,33.9,416.0,Urea,Heavy,20,600,69.9,7612500,211.5
365,Quetta,30.1798,66.975,gram,sandy loam,39.15,Rabi,21.2,181.3,Urea,Mega,40,1200,1.6,13702500,190.3
366,Faisalabad,31.4504,73.135,sugarcane,loam,5.33,Kharif,26.6,498.8,DAP,Upper Medium,7,200,67.8,3997500,333.1
367,Rawalpindi,33.5651,73.0169,wheat,silty loam,2.02,Rabi,24.7,384.3,DAP,Small,3,60,3.2,909000,252.5
368,Sargodha,32.0836,72.6711,maize,sandy loam,42.12,Kharif,21.0,271.4,FYM,Ultra,50,1500,4.4,20217600,224.6
369,Lahore,31.5204,74.3587,cotton,sandy loam,7.46,Kharif,33.8,213.2,NPK,Large,10,300,1.5,3879200,215.5
370,Karachi,24.8607,67.0011,cotton,sandy loam,3.94,Kharif,27.0,288.7,DAP,Medium,5,120,2.7,2048800,284.6
371,Gujrat,32.5742,74.0754,maize,loam,11.19,Kharif,29.1,498.6,Urea,Heavy,20,600,4.2,5371200,149.2
372,Bahawalpur,29.3956,71.6836,maize,loam,28.1,Kharif,22.1,310.9,DAP,Mega,40,1200,4.2,13488000,187.3
373,Jhang,31.2682,72.3184,cotton,sandy loam,19.06,Kharif,30.9,289.7,None,Extra Heavy,30,900,2.5,9911200,183.5
374,Sheikhupura,31.7131,73.9783,rice,clay,3.55,Kharif,27.0,638.1,NPK,Medium,5,120,3.6,2414000,335.3
375,Okara,30.8103,73.4513,wheat,silty loam,1.4,Rabi,18.4,301.2,Urea,Small,3,60,4.0,630000,175.0
376,Rahim Yar Khan,28.4209,70.2952,maize,sandy loam,25.98,Kharif,22.0,256.6,DAP,Mega,40,1200,4.4,12470400,173.2
377,Jhang,31.2682,72.3184,wheat,silty loam,43.4,Rabi,20.0,337.6,NPK,Ultra,50,1500,3.1,19530000,217.0
378,Rawalpindi,33.5651,73.0169,rice,clay loam,31.5,Kharif,31.3,543.0,FYM,Mega,40,1200,3.7,21420000,297.5
379,Sialkot,32.4922,74.5311,potato,loam,1.67,Rabi,17.8,274.4,NPK,Small,3,60,3.2,668000,185.6
380,Gujrat,32.5742,74.0754,maize,loam,8.82,Kharif,27.7,356.0,FYM,Large,10,300,4.1,4233600,235.2
381,Multan,30.1575,71.5249,potato,sandy loam,15.23,Rabi,21.2,313.1,NPK,Extra Heavy,30,900,3.1,6092000,112.8
382,Kasur,31.1155,74.4466,sugarcane,loam,24.99,Kharif,28.4,459.9,NPK,Extra Heavy,30,900,56.8,18742500,347.1
383,Gujranwala,32.1877,74.1945,maize,loam,27.2,Kharif,22.8,415.6,NPK,Mega,40,1200,3.4,13056000,181.3
384,Sukkur,27.7132,68.8482,potato,loam,12.31,Rabi,22.5,240.8,None,Heavy,20,600,3.3,4924000,136.8
385,Rahim Yar Khan,28.4209,70.2952,maize,loam,29.59,Kharif,28.1,330.4,Urea,Mega,40,1200,3.6,14203200,197.3
386,Quetta,30.1798,66.975,cotton,sandy loam,9.63,Kharif,34.2,298.2,DAP,Large,10,300,1.8,5007600,278.2
387,Faisalabad,31.4504,73.135,cotton,loam,6.85,Kharif,31.6,187.8,FYM,Upper Medium,7,200,1.7,3562000,296.8
388,Sialkot,32.4922,74.5311,gram,loamy sand,27.76,Rabi,17.0,153.0,DAP,Mega,40,1200,1.9,9716000,134.9
389,Rahim Yar Khan,28.4209,70.2952,rice,clay loam,9.12,Kharif,31.0,700.8,Urea,Large,10,300,4.7,6201600,344.5
390,Sukkur,27.7132,68.8482,wheat,silty loam,33.76,Rabi,15.9,259.3,FYM,Mega,40,1200,4.2,15192000,211.0
391,Peshawar,34.0151,71.5249,gram,sandy loam,14.61,Rabi,21.6,195.8,DAP,Heavy,20,600,2.0,5113500,142.0
392,Kasur,31.1155,74.4466,cotton,sandy loam,10.22,Kharif,30.7,177.8,DAP,Heavy,20,600,1.6,5314400,147.6
393,Jhang,31.2682,72.3184,cotton,loam,31.96,Kharif,29.1,170.1,None,Mega,40,1200,1.8,16619200,230.8
394,Faisalabad,31.4504,73.135,rice,clay,42.72,Kharif,33.5,757.4,DAP,Ultra,50,1500,4.3,29049600,322.8
395,Bahawalpur,29.3956,71.6836,sugarcane,loam,9.46,Kharif,26.0,511.7,FYM,Large,10,300,68.0,7095000,394.2
396,Lahore,31.5204,74.3587,potato,loam,42.38,Rabi,17.9,212.3,DAP,Ultra,50,1500,2.9,16952000,188.4
397,Bahawalpur,29.3956,71.6836,sugarcane,clay loam,40.48,Kharif,30.0,490.0,Urea,Ultra,50,1500,57.8,30360000,337.3
398,Lahore,31.5204,74.3587,maize,sandy loam,36.45,Kharif,28.5,404.9,None,Mega,40,1200,4.0,17496000,243.0
399,Gujranwala,32.1877,74.1945,rice,clay loam,31.9,Kharif,31.7,565.7,Urea,Mega,40,1200,4.4,21692000,301.3
400,Faisalabad,31.4504,73.135,maize,sandy loam,49.72,Kharif,27.5,412.9,Urea,Ultra,50,1500,3.2,23865600,265.2
401,Multan,30.1575,71.5249,potato,loam,26.71,Rabi,24.7,334.9,DAP,Mega,40,1200,2.2,10684000,148.4
