id,district,latitude,longitude,crop_type,soil_type,field_area_ha,season,avg_temp_c,total_rainfall_mm,soil_water_retention_mm,fertilizer_type,fertilizer_amount_kg_ha,yield_ton_per_ha,water_requirement_liters_day
237,Sargodha,32.0836,72.6711,tobacco,silty loam,4.98,Kharif,23.6,383.2,210,DAP,158,2.5,69023
238,Sargodha,32.0836,72.6711,maize,loam,1.7,Kharif,27.5,414.4,174,FYM,251,3.2,24480
239,Hyderabad,25.396,68.3578,tobacco,silty loam,1.9,Kharif,21.2,329.2,179,Urea,184,2.3,26334
240,Mardan,34.1983,72.0452,wheat,silty loam,5.26,Rabi,21.3,381.4,220,None,0,4.0,78111
241,Baghsar,33.8667,74.7667,potato,loam,4.42,Rabi,16.1,339.0,168,FYM,248,2.9,53040
242,Turbat,26.0012,63.0515,cotton,loam,2.5,Kharif,33.4,241.0,176,DAP,140,2.7,51675
243,Sargodha,32.0836,72.6711,gram,loamy sand,4.88,Rabi,18.4,153.8,105,FYM,216,2.2,78846
244,Sargodha,32.0836,72.6711,tobacco,silty loam,5.78,Kharif,27.6,367.6,166,FYM,312,1.8,80111
245,Abbottabad,34.1463,73.2117,sugarcane,loam,2.18,Kharif,34.7,490.7,193,FYM,322,64.6,49050
246,Okara,30.8103,73.4513,date palm,desert sand,3.4,Perennial,36.5,66.6,43,DAP,124,10.3,42508
247,Mianwali,32.5833,71.5375,tobacco,loam,9.31,Kharif,25.4,365.3,183,NPK,152,1.6,117306
248,Sahiwal,30.6705,73.1063,gram,sandy loam,5.72,Rabi,24.9,200.2,148,NPK,207,1.9,80000
249,Lahore,31.5204,74.3587,rice,clay loam,3.74,Kharif,34.5,796.5,247,Urea,195,4.9,91555
250,Nawabshah,26.2483,68.4035,wheat,loam,7.95,Rabi,20.9,384.6,171,FYM,220,4.3,107325
251,Mansehra,34.3332,73.1992,potato,loam,9.3,Rabi,15.3,228.9,186,NPK,165,2.4,159123
252,Chitral,35.8512,71.7864,date palm,sandy,5.8,Perennial,36.4,148.5,76,DAP,132,11.5,76582
253,Karachi,24.8607,67.0011,potato,sandy loam,7.14,Rabi,21.5,333.1,141,FYM,204,3.3,68544
254,Jhelum,32.9416,73.7251,wheat,silty loam,5.83,Rabi,23.8,216.5,167,FYM,260,4.0,132388
255,Abbottabad,34.1463,73.2117,gram,sandy loam,3.51,Rabi,22.1,183.4,148,NPK,195,1.7,53219
256,Quetta,30.1798,66.975,cotton,sandy loam,2.11,Kharif,29.7,245.5,113,FYM,200,2.3,33903
257,Chitral,35.8512,71.7864,tobacco,loam,7.13,Kharif,23.1,340.6,162,DAP,134,2.1,89838
258,Okara,30.8103,73.4513,wheat,silty loam,3.33,Rabi,18.6,296.5,191,Urea,170,3.9,49451
259,Mirpur,33.1497,73.7515,apple orchard,rocky loam,6.57,Perennial,19.6,563.1,145,FYM,221,9.5,67408
260,Mansehra,34.3332,73.1992,potato,loam,4.57,Rabi,24.0,271.4,189,None,0,2.1,58770
261,Jhang,31.2682,72.3184,sugarcane,loam,5.85,Kharif,30.0,416.1,165,FYM,221,53.9,131625
262,Mirpur,33.1497,73.7515,tobacco,loam,1.17,Kharif,22.6,318.5,151,FYM,337,1.6,14742
263,Burewala,30.15,72.65,tobacco,silty loam,9.33,Kharif,29.3,395.2,165,Urea,157,1.8,129314
264,Gujranwala,32.1877,74.1945,date palm,desert sand,1.55,Perennial,38.1,71.3,69,None,0,9.1,19106
265,Sargodha,32.0836,72.6711,potato,sandy loam,9.86,Rabi,21.6,219.3,144,NPK,164,3.4,142536
266,Mardan,34.1983,72.0452,wheat,silty loam,4.74,Rabi,22.5,312.7,194,FYM,318,3.6,70389
267,Islamabad,33.6844,73.0479,date palm,sandy,1.54,Perennial,31.2,84.7,63,FYM,206,8.7,25492
268,Dera Ismail Khan,31.8322,70.9024,tobacco,loam,9.36,Kharif,28.6,393.7,188,Urea,154,2.2,117936
269,Islamabad,33.6844,73.0479,potato,loam,9.82,Rabi,18.5,348.7,193,FYM,317,2.4,117840
270,Gujrat,32.5742,74.0754,gram,sandy loam,4.97,Rabi,23.6,231.2,120,FYM,270,2.5,58726
271,Larkana,27.5609,68.2066,rice,clay loam,3.55,Kharif,26.5,572.4,224,FYM,327,4.6,86904
272,Hafizabad,32.0709,73.688,rice,clay loam,6.57,Kharif,35.0,582.9,198,Urea,132,4.4,160834
273,Dera Ismail Khan,31.8322,70.9024,rice,clay loam,7.8,Kharif,32.2,540.3,192,Urea,106,4.0,190944
274,Sahiwal,30.6705,73.1063,maize,sandy loam,5.36,Kharif,29.3,310.6,108,FYM,211,3.4,61747
275,Zhob,31.3487,69.4484,gram,loamy sand,6.17,Rabi,24.0,102.9,89,None,0,1.7,120298
276,Gujranwala,32.1877,74.1945,gram,sandy loam,8.18,Rabi,21.7,157.9,148,NPK,166,1.7,138626
277,Chitral,35.8512,71.7864,cotton,loam,3.17,Kharif,27.3,325.3,167,None,0,2.5,49452
278,Sialkot,32.4922,74.5311,rice,clay,7.67,Kharif,29.9,509.1,208,DAP,173,4.9,203408
279,Dera Ismail Khan,31.8322,70.9024,cotton,sandy loam,3.77,Kharif,33.7,268.9,117,None,0,2.4,51402
280,Sahiwal,30.6705,73.1063,tobacco,silty loam,8.19,Kharif,29.8,383.7,185,NPK,195,2.5,113513
281,Chitral,35.8512,71.7864,sugarcane,clay loam,2.51,Kharif,29.8,484.1,196,FYM,269,54.3,67770
282,Mingora,35.0266,72.276,apple orchard,loam,7.38,Perennial,19.0,552.6,193,None,0,8.8,84132
283,Peshawar,34.0151,71.5249,sugarcane,loam,8.23,Kharif,27.5,481.0,185,NPK,211,58.0,185175
284,Dera Ismail Khan,31.8322,70.9024,date palm,sandy,0.59,Perennial,25.4,110.9,75,None,0,10.4,8955
285,Rawalpindi,33.5651,73.0169,tobacco,loam,1.44,Kharif,26.3,375.0,191,NPK,166,2.1,18144
286,Jhelum,32.9416,73.7251,maize,loam,3.63,Kharif,25.8,400.7,181,Urea,116,4.0,52272
287,Mirpur,33.1497,73.7515,rice,clay loam,9.57,Kharif,31.2,507.4,214,None,0,3.9,234274
288,Khanewal,30.3016,71.9351,gram,sandy loam,8.03,Rabi,22.5,170.1,137,Urea,155,1.8,129227
289,Zhob,31.3487,69.4484,rice,clay loam,3.8,Kharif,31.0,627.4,246,FYM,302,4.8,93024
290,Hafizabad,32.0709,73.688,potato,loam,5.69,Rabi,24.2,262.4,185,FYM,254,2.5,78294
291,Zhob,31.3487,69.4484,sugarcane,loam,8.38,Kharif,33.5,436.2,191,DAP,178,61.9,188550
292,Mirpur,33.1497,73.7515,rice,clay,1.96,Kharif,27.6,513.9,224,FYM,237,3.8,51979
293,Quetta,30.1798,66.975,cotton,sandy loam,2.02,Kharif,34.4,338.9,104,FYM,274,2.1,25210
294,Chiniot,31.716,72.9814,tobacco,loam,7.19,Kharif,25.5,358.9,197,NPK,151,2.2,90594
295,Kotli,33.5186,73.9022,rice,clay loam,9.54,Kharif,25.2,631.7,205,None,0,3.9,233539
296,Muzaffarabad,34.3702,73.4711,maize,loam,1.08,Kharif,24.7,334.9,191,None,0,3.8,15552
297,Charsadda,34.1453,71.7436,potato,sandy loam,8.93,Rabi,23.4,316.6,146,FYM,302,3.1,85728
298,Swabi,34.1202,72.4697,potato,loam,4.83,Rabi,19.1,293.9,178,None,0,3.0,57960
299,Larkana,27.5609,68.2066,sugarcane,clay loam,2.34,Kharif,27.9,512.5,242,FYM,271,54.9,63180
300,Lodhran,29.5383,71.6315,tobacco,loam,5.72,Kharif,22.2,365.5,177,Urea,110,1.6,72072
301,Mingora,35.0266,72.276,apple orchard,rocky loam,3.0,Perennial,18.0,411.6,156,Urea,172,8.8,30780
302,Rawalpindi,33.5651,73.0169,maize,sandy loam,9.05,Kharif,25.1,489.4,117,FYM,315,3.2,104256
303,Bahawalpur,29.3956,71.6836,maize,loam,9.41,Kharif,20.1,473.9,184,DAP,179,3.7,135504
304,Burewala,30.15,72.65,gram,loamy sand,0.57,Rabi,19.7,145.9,83,NPK,150,2.0,9505
305,Haripur,33.9962,72.9338,potato,sandy loam,2.75,Rabi,19.6,278.2,146,DAP,167,2.7,26796
306,Larkana,27.5609,68.2066,apple orchard,rocky loam,4.46,Perennial,14.7,337.0,131,Urea,114,9.4,45760
307,Thatta,24.747,67.9192,cotton,sandy loam,2.33,Kharif,33.0,208.0,143,DAP,157,2.2,46525
308,Sargodha,32.0836,72.6711,cotton,sandy loam,9.65,Kharif,28.5,225.7,143,FYM,269,2.8,174927
309,Turbat,26.0012,63.0515,gram,sandy loam,2.23,Rabi,20.2,245.3,105,Urea,148,2.2,24149
310,Chiniot,31.716,72.9814,rice,clay loam,6.49,Kharif,31.5,666.4,237,FYM,319,4.0,158875
311,Mardan,34.1983,72.0452,sugarcane,clay loam,9.8,Kharif,25.7,474.9,196,Urea,135,59.7,264600
312,Swabi,34.1202,72.4697,maize,loam,2.97,Kharif,22.3,491.7,179,None,0,3.7,42768
313,Gujranwala,32.1877,74.1945,maize,sandy loam,1.69,Kharif,23.3,449.1,115,DAP,143,3.0,19469
314,Abbottabad,34.1463,73.2117,cotton,sandy loam,3.71,Kharif,34.3,200.6,111,None,0,2.6,76936
315,Hafizabad,32.0709,73.688,maize,loam,6.61,Kharif,22.4,307.1,176,Urea,101,4.2,95184
316,Bahawalpur,29.3956,71.6836,maize,sandy loam,5.79,Kharif,25.6,259.4,120,None,0,4.2,78151
317,Burewala,30.15,72.65,potato,sandy loam,1.65,Rabi,20.9,308.7,107,NPK,199,2.8,15840
318,Bannu,32.9886,70.6055,tobacco,loam,2.3,Kharif,22.9,348.9,156,NPK,151,2.3,28980
319,Hyderabad,25.396,68.3578,potato,loam,4.51,Rabi,23.2,275.9,153,DAP,124,2.5,55969
320,Hafizabad,32.0709,73.688,date palm,sandy,0.88,Perennial,39.2,91.0,65,Urea,179,11.9,14276
321,Okara,30.8103,73.4513,apple orchard,rocky loam,5.77,Perennial,11.5,534.2,140,NPK,218,8.7,59200
322,Dera Ismail Khan,31.8322,70.9024,date palm,sandy,3.55,Perennial,32.8,134.6,87,NPK,202,8.6,49464
323,Baghsar,33.8667,74.7667,date palm,desert sand,4.12,Perennial,35.2,139.9,73,None,0,10.5,40185
324,Nawabshah,26.2483,68.4035,potato,loam,9.52,Rabi,19.0,348.2,160,DAP,135,2.6,114240
325,Attock,33.7731,72.3744,rice,clay loam,6.62,Kharif,28.4,625.0,247,Urea,120,4.7,162058
326,Kotli,33.5186,73.9022,maize,sandy loam,9.95,Kharif,24.7,300.1,114,None,0,4.4,114624
327,Chiniot,31.716,72.9814,sugarcane,loam,9.85,Kharif,34.1,454.8,179,FYM,205,56.3,221625
328,Sialkot,32.4922,74.5311,date palm,sandy,0.6,Perennial,36.8,57.5,89,Urea,145,11.7,10789
329,Nawabshah,26.2483,68.4035,sugarcane,loam,1.39,Kharif,33.1,522.3,189,None,0,50.2,31275
330,Khanewal,30.3016,71.9351,gram,sandy loam,9.06,Rabi,24.9,227.0,140,NPK,175,2.2,109717
331,Peshawar,34.0151,71.5249,tobacco,silty loam,8.32,Kharif,25.0,348.6,206,FYM,301,2.3,115315
332,Chitral,35.8512,71.7864,gram,sandy loam,2.65,Rabi,15.9,242.0,112,None,0,2.2,29309
333,Swabi,34.1202,72.4697,gram,sandy loam,8.14,Rabi,24.4,143.2,136,NPK,150,2.2,146325
334,Mianwali,32.5833,71.5375,sugarcane,loam,1.66,Kharif,28.4,446.0,161,Urea,147,69.7,37350
335,Lodhran,29.5383,71.6315,maize,sandy loam,8.58,Kharif,29.3,416.8,133,None,0,4.3,98842
336,Kotli,33.5186,73.9022,wheat,loam,7.37,Rabi,19.1,297.5,200,Urea,146,3.7,99495
337,Lodhran,29.5383,71.6315,potato,sandy loam,0.86,Rabi,24.5,231.8,131,DAP,153,3.2,11572
338,Mansehra,34.3332,73.1992,potato,sandy loam,9.51,Rabi,22.9,248.8,119,None,0,3.0,115033
339,Sukkur,27.7132,68.8482,tobacco,silty loam,1.3,Kharif,20.8,275.3,189,NPK,164,2.2,18724
340,Mirpur Khas,25.5255,69.0159,wheat,loam,2.07,Rabi,22.3,316.3,164,NPK,172,3.1,27945
341,Lahore,31.5204,74.3587,gram,sandy loam,9.08,Rabi,23.0,203.6,146,None,0,2.4,124832
342,Multan,30.1575,71.5249,rice,clay,2.68,Kharif,26.3,723.5,271,None,0,4.5,71074
343,Lodhran,29.5383,71.6315,potato,loam,3.53,Rabi,22.5,326.0,160,NPK,186,3.3,42360
344,Bhimber,32.979,74.0792,apple orchard,loam,2.49,Perennial,12.0,344.9,182,None,0,7.5,28386
345,Islamabad,33.6844,73.0479,tobacco,loam,6.23,Kharif,25.9,257.9,166,None,0,1.6,92955
346,Kotli,33.5186,73.9022,rice,clay loam,1.94,Kharif,25.3,730.5,206,NPK,216,3.5,47491
347,Swat,35.2217,72.4252,gram,loamy sand,3.27,Rabi,19.0,232.4,97,NPK,183,2.2,35966
348,Khuzdar,27.8,66.6167,gram,loamy sand,4.72,Rabi,17.4,127.9,112,Urea,193,2.3,84283
349,Dera Ismail Khan,31.8322,70.9024,sugarcane,clay loam,5.16,Kharif,27.0,504.5,196,Urea,172,68.6,139320
350,Hyderabad,25.396,68.3578,gram,sandy loam,8.67,Rabi,16.8,250.0,100,Urea,140,2.3,91035
351,Peshawar,34.0151,71.5249,wheat,loam,1.83,Rabi,21.4,243.1,177,FYM,307,3.3,32302
352,Sargodha,32.0836,72.6711,maize,sandy loam,6.23,Kharif,22.0,302.5,100,DAP,126,4.4,71770
353,Rawalpindi,33.5651,73.0169,maize,sandy loam,8.93,Kharif,21.5,488.8,120,DAP,176,3.2,102874
354,Sukkur,27.7132,68.8482,cotton,loam,3.45,Kharif,26.1,285.0,188,FYM,313,2.9,53820
355,Sukkur,27.7132,68.8482,sugarcane,clay loam,8.3,Kharif,26.7,462.1,196,None,0,68.9,224100
356,Khanewal,30.3016,71.9351,potato,sandy loam,3.11,Rabi,24.3,228.2,109,None,0,3.3,42744
357,Mirpur Khas,25.5255,69.0159,gram,loamy sand,3.48,Rabi,21.4,248.0,91,Urea,130,1.7,34713
358,Jhelum,32.9416,73.7251,sugarcane,loam,2.45,Kharif,33.0,491.9,177,NPK,216,67.5,55125
359,Sahiwal,30.6705,73.1063,sugarcane,loam,3.38,Kharif,27.2,533.0,185,NPK,189,66.6,76050
360,Sheikhupura,31.7131,73.9783,cotton,loam,6.67,Kharif,26.6,270.0,161,DAP,129,2.3,112723
361,Dera Ismail Khan,31.8322,70.9024,apple orchard,loam,1.37,Perennial,13.1,430.8,161,NPK,157,9.3,15618
362,Charsadda,34.1453,71.7436,tobacco,silty loam,9.11,Kharif,20.2,325.5,177,FYM,329,1.8,126265
363,Mirpur,33.1497,73.7515,rice,clay,2.39,Kharif,34.8,616.8,263,DAP,174,4.2,63383
364,Peshawar,34.0151,71.5249,maize,sandy loam,5.84,Kharif,23.2,279.7,108,Urea,158,3.9,67445
365,Kohat,33.5861,71.4414,maize,sandy loam,7.4,Kharif,28.7,489.6,119,DAP,169,4.0,85248
366,Thatta,24.747,67.9192,gram,loamy sand,1.39,Rabi,21.5,144.4,113,DAP,139,2.1,23316
367,Chitral,35.8512,71.7864,cotton,sandy loam,5.45,Kharif,26.6,331.4,120,NPK,211,1.6,68016
368,Rawalpindi,33.5651,73.0169,tobacco,loam,5.08,Kharif,23.4,335.9,197,None,0,2.4,64008
369,Rahim Yar Khan,28.4209,70.2952,wheat,loam,6.41,Rabi,17.1,274.0,154,NPK,186,4.2,90862
370,Chiniot,31.716,72.9814,maize,loam,9.42,Kharif,27.7,491.1,161,Urea,194,3.5,135648
371,Abbottabad,34.1463,73.2117,rice,clay loam,1.47,Kharif,34.5,683.5,235,None,0,3.7,35986
372,Attock,33.7731,72.3744,wheat,silty loam,3.06,Rabi,24.6,243.9,182,DAP,172,3.2,59111
373,Gujranwala,32.1877,74.1945,gram,sandy loam,9.9,Rabi,15.9,231.5,112,Urea,137,1.8,116771
374,Rawalpindi,33.5651,73.0169,gram,loamy sand,8.07,Rabi,17.1,243.4,127,None,0,2.3,82934
375,Khuzdar,27.8,66.6167,tobacco,loam,7.39,Kharif,24.6,314.9,160,FYM,273,1.9,93114
376,Turbat,26.0012,63.0515,potato,sandy loam,8.57,Rabi,17.0,214.4,111,DAP,138,2.8,127247
377,Kasur,31.1155,74.4466,rice,clay loam,7.57,Kharif,32.7,754.6,204,None,0,4.2,185314
378,Burewala,30.15,72.65,potato,sandy loam,3.51,Rabi,17.4,247.4,117,DAP,129,2.9,42850
379,Larkana,27.5609,68.2066,sugarcane,loam,2.09,Kharif,33.5,589.9,160,NPK,160,69.5,47025
380,Lodhran,29.5383,71.6315,sugarcane,clay loam,2.67,Kharif,33.6,542.3,233,DAP,168,51.8,72090
381,Muzaffarabad,34.3702,73.4711,tobacco,loam,1.69,Kharif,28.9,333.3,191,DAP,124,1.7,21294
382,Khanewal,30.3016,71.9351,cotton,sandy loam,9.23,Kharif,32.3,305.7,124,Urea,148,2.2,115190
383,Mianwali,32.5833,71.5375,date palm,desert sand,5.09,Perennial,35.6,53.2,56,None,0,10.4,66195
384,Zhob,31.3487,69.4484,rice,clay,2.63,Kharif,27.9,721.9,229,NPK,187,4.9,69748
385,Rawalpindi,33.5651,73.0169,tobacco,silty loam,9.31,Kharif,28.5,381.0,168,None,0,2.0,129037
386,Jhang,31.2682,72.3184,potato,sandy loam,1.82,Rabi,19.2,254.4,149,Urea,109,2.3,21199
387,Haripur,33.9962,72.9338,tobacco,loam,8.47,Kharif,20.9,283.2,151,FYM,324,2.5,106722
388,Peshawar,34.0151,71.5249,wheat,clay loam,7.09,Rabi,24.9,385.8,184,DAP,160,3.9,114858
389,Mardan,34.1983,72.0452,gram,loamy sand,4.06,Rabi,22.8,221.2,120,Urea,142,2.4,47639
390,Khuzdar,27.8,66.6167,apple orchard,rocky loam,8.08,Perennial,16.9,443.0,130,FYM,348,9.9,82901
391,Kasur,31.1155,74.4466,wheat,clay loam,8.38,Rabi,20.3,258.9,189,DAP,138,3.9,159626
392,Attock,33.7731,72.3744,maize,sandy loam,3.4,Kharif,23.9,301.6,148,NPK,203,3.6,39168
393,Kotli,33.5186,73.9022,tobacco,silty loam,5.13,Kharif,26.6,349.2,192,FYM,323,2.1,71102
394,Mingora,35.0266,72.276,maize,sandy loam,4.92,Kharif,22.2,445.9,144,FYM,265,4.4,56678
395,Mianwali,32.5833,71.5375,apple orchard,loam,7.02,Perennial,14.2,503.1,187,NPK,156,8.4,80028
396,Swabi,34.1202,72.4697,cotton,sandy loam,9.88,Kharif,33.1,299.5,101,DAP,138,2.3,123302
397,Faisalabad,31.4504,73.135,date palm,desert sand,9.28,Perennial,38.3,120.5,50,NPK,201,11.5,97266
398,Burewala,30.15,72.65,gram,sandy loam,5.72,Rabi,19.6,102.1,101,DAP,132,1.6,119279
399,Gujranwala,32.1877,74.1945,potato,loam,7.07,Rabi,20.1,202.0,185,DAP,159,3.0,139986
400,Larkana,27.5609,68.2066,date palm,desert sand,1.66,Perennial,34.7,86.9,42,Urea,151,9.8,19490
401,Rahim Yar Khan,28.4209,70.2952,tobacco,silty loam,1.79,Kharif,27.9,328.0,206,NPK,218,1.6,24809
402,Quetta,30.1798,66.975,rice,clay loam,6.21,Kharif,26.4,780.7,215,Urea,200,4.9,152021
403,Sheikhupura,31.7131,73.9783,maize,sandy loam,7.48,Kharif,22.8,486.7,131,FYM,307,3.2,86170
404,Gujranwala,32.1877,74.1945,date palm,sandy,5.08,Perennial,33.2,111.7,50,NPK,186,9.4,76890
405,Mingora,35.0266,72.276,potato,loam,4.73,Rabi,18.5,304.7,164,None,0,3.0,56760
406,Kohat,33.5861,71.4414,rice,clay loam,2.78,Kharif,35.0,582.3,241,Urea,174,4.1,68054
407,Burewala,30.15,72.65,date palm,desert sand,2.38,Perennial,31.6,147.6,44,NPK,200,11.4,22527
408,Jhang,31.2682,72.3184,gram,loamy sand,6.81,Rabi,22.3,244.0,125,Urea,156,1.9,69717
409,Abbottabad,34.1463,73.2117,sugarcane,loam,3.41,Kharif,33.9,421.3,173,NPK,151,53.9,76725
410,Bahawalpur,29.3956,71.6836,wheat,silty loam,3.49,Rabi,17.0,294.7,160,NPK,220,3.4,51827
411,Lasbela,25.8694,66.7097,apple orchard,rocky loam,6.94,Perennial,16.4,392.5,160,DAP,158,8.7,71204
412,Gujranwala,32.1877,74.1945,cotton,loam,3.22,Kharif,33.0,236.0,158,None,0,1.6,68650
413,Jhelum,32.9416,73.7251,wheat,clay loam,6.06,Rabi,17.4,269.0,242,None,0,4.0,107171
414,Khuzdar,27.8,66.6167,tobacco,silty loam,6.57,Kharif,29.6,383.2,210,DAP,128,1.9,91060
415,Kohat,33.5861,71.4414,wheat,loam,3.24,Rabi,15.3,205.9,184,DAP,177,3.4,70749
416,Karachi,24.8607,67.0011,cotton,sandy loam,9.81,Kharif,32.5,311.1,132,DAP,165,2.7,122429
417,Kotli,33.5186,73.9022,sugarcane,clay loam,7.99,Kharif,28.8,528.4,203,FYM,237,67.0,215730
418,Mardan,34.1983,72.0452,maize,loam,6.17,Kharif,28.6,346.6,184,NPK,183,3.7,88848
419,Bannu,32.9886,70.6055,rice,clay loam,7.06,Kharif,32.0,650.5,224,NPK,153,4.3,172829
420,Mansehra,34.3332,73.1992,cotton,loam,2.4,Kharif,30.1,273.3,154,None,0,3.0,39530
421,Kohat,33.5861,71.4414,gram,loamy sand,0.94,Rabi,22.9,199.8,101,None,0,1.8,12350
422,Muzaffarabad,34.3702,73.4711,cotton,loam,2.97,Kharif,26.8,325.9,174,FYM,262,2.7,46332
423,Peshawar,34.0151,71.5249,cotton,sandy loam,8.1,Kharif,34.7,153.8,101,DAP,120,1.9,207399
424,Gujrat,32.5742,74.0754,date palm,sandy,1.94,Perennial,31.0,68.8,81,Urea,134,8.5,33733
425,Haripur,33.9962,72.9338,rice,clay loam,4.81,Kharif,25.9,705.6,230,NPK,212,4.9,117749
426,Sukkur,27.7132,68.8482,apple orchard,rocky loam,6.46,Perennial,13.3,515.6,128,DAP,120,7.6,66280
427,Lodhran,29.5383,71.6315,sugarcane,loam,6.77,Kharif,29.7,439.7,191,NPK,157,54.5,152325
428,Abbottabad,34.1463,73.2117,potato,loam,4.2,Rabi,19.5,252.5,182,Urea,124,3.3,61950
429,Faisalabad,31.4504,73.135,gram,loamy sand,7.85,Rabi,24.7,138.4,85,Urea,115,1.9,134765
430,Thatta,24.747,67.9192,sugarcane,clay loam,7.03,Kharif,28.4,498.2,198,FYM,312,50.5,189810
431,Baghsar,33.8667,74.7667,sugarcane,loam,7.99,Kharif,34.2,588.1,173,None,0,58.2,179775
432,Bhimber,32.979,74.0792,sugarcane,loam,2.47,Kharif,28.4,459.6,183,FYM,244,54.1,55575
433,Quetta,30.1798,66.975,tobacco,loam,3.02,Kharif,22.4,333.9,155,NPK,207,2.3,38052
434,Abbottabad,34.1463,73.2117,cotton,loam,7.87,Kharif,25.9,248.1,190,DAP,169,1.8,155409
435,Mardan,34.1983,72.0452,potato,sandy loam,3.44,Rabi,15.6,345.3,148,Urea,103,2.4,33024
436,Faisalabad,31.4504,73.135,rice,clay,5.0,Kharif,26.7,558.0,235,FYM,260,3.5,132600
437,Bahawalpur,29.3956,71.6836,maize,sandy loam,6.0,Kharif,27.5,414.2,136,DAP,154,3.5,69120
438,Rawalpindi,33.5651,73.0169,rice,clay,3.87,Kharif,30.9,584.2,265,FYM,303,4.9,102632
439,Attock,33.7731,72.3744,tobacco,loam,3.19,Kharif,25.3,285.9,150,DAP,168,1.7,40194
440,Swat,35.2217,72.4252,tobacco,loam,1.04,Kharif,21.2,307.1,180,NPK,167,1.6,13104
441,Mansehra,34.3332,73.1992,tobacco,loam,7.24,Kharif,25.7,325.1,151,NPK,185,1.7,91224
442,Nawabshah,26.2483,68.4035,sugarcane,loam,6.71,Kharif,25.4,569.6,189,NPK,197,52.7,150975
443,Baghsar,33.8667,74.7667,apple orchard,loam,6.23,Perennial,13.0,583.9,158,Urea,165,7.1,71022
444,Mingora,35.0266,72.276,maize,sandy loam,8.46,Kharif,25.8,363.7,133,None,0,4.3,97459
445,Swabi,34.1202,72.4697,rice,clay loam,5.31,Kharif,32.5,518.2,243,NPK,171,4.2,129989
446,Chiniot,31.716,72.9814,tobacco,loam,2.23,Kharif,22.0,258.1,197,Urea,175,1.9,33226
447,Quetta,30.1798,66.975,rice,clay loam,0.54,Kharif,28.1,690.4,196,NPK,213,3.8,13219
448,Muzaffarabad,34.3702,73.4711,potato,sandy loam,2.91,Rabi,17.1,296.5,105,None,0,3.4,27936
449,Larkana,27.5609,68.2066,apple orchard,rocky loam,0.8,Perennial,15.7,431.3,177,Urea,148,8.2,8208
450,Dera Ismail Khan,31.8322,70.9024,tobacco,silty loam,5.79,Kharif,20.4,252.4,178,None,0,1.5,98707
451,Karachi,24.8607,67.0011,sugarcane,loam,0.81,Kharif,31.7,581.7,161,FYM,214,51.3,18225
452,Sahiwal,30.6705,73.1063,gram,sandy loam,8.74,Rabi,21.9,209.9,103,NPK,171,2.2,116303
453,Mansehra,34.3332,73.1992,wheat,silty loam,2.76,Rabi,18.9,256.1,205,None,0,3.3,49149
454,Charsadda,34.1453,71.7436,gram,loamy sand,9.38,Rabi,23.6,240.9,101,NPK,191,2.0,97936
455,Faisalabad,31.4504,73.135,wheat,silty loam,5.33,Rabi,21.4,378.3,163,FYM,328,3.5,79151
456,Mansehra,34.3332,73.1992,apple orchard,rocky loam,3.3,Perennial,12.7,421.9,143,None,0,8.1,33858
457,Hyderabad,25.396,68.3578,date palm,sandy,3.9,Perennial,35.0,120.7,98,FYM,280,11.5,57187
458,Thatta,24.747,67.9192,date palm,desert sand,0.71,Perennial,27.8,104.9,76,Urea,103,10.8,7857
459,Rahim Yar Khan,28.4209,70.2952,gram,loamy sand,1.58,Rabi,20.9,104.2,113,DAP,132,2.3,30671
460,Gujrat,32.5742,74.0754,rice,clay loam,4.76,Kharif,34.0,621.7,240,Urea,194,4.4,116525
461,Mardan,34.1983,72.0452,maize,sandy loam,1.66,Kharif,26.9,476.5,109,FYM,343,3.5,19123
462,Kohat,33.5861,71.4414,date palm,sandy,7.57,Perennial,39.1,98.2,78,None,0,9.3,119943
463,Peshawar,34.0151,71.5249,wheat,silty loam,2.05,Rabi,20.8,215.8,201,FYM,283,3.9,46729
464,Gujrat,32.5742,74.0754,wheat,silty loam,0.81,Rabi,21.3,375.2,190,None,0,3.4,12029
465,Baghsar,33.8667,74.7667,gram,loamy sand,6.56,Rabi,23.3,102.0,117,None,0,1.9,128289
466,Islamabad,33.6844,73.0479,potato,loam,9.12,Rabi,18.3,284.7,198,None,0,2.9,109440
467,Kohat,33.5861,71.4414,sugarcane,clay loam,2.35,Kharif,27.3,541.4,232,FYM,296,63.9,63450
468,Lodhran,29.5383,71.6315,gram,loamy sand,4.91,Rabi,15.0,111.7,92,FYM,254,1.9,92896
469,Dera Ismail Khan,31.8322,70.9024,potato,loam,7.82,Rabi,15.5,208.3,171,Urea,199,2.7,149909
470,Zhob,31.3487,69.4484,date palm,sandy,7.89,Perennial,31.9,142.8,51,FYM,261,10.0,106539
471,Bhimber,32.979,74.0792,sugarcane,clay loam,4.74,Kharif,31.5,571.0,181,FYM,263,56.5,127980
472,Jhang,31.2682,72.3184,sugarcane,loam,8.73,Kharif,33.7,513.5,163,None,0,55.0,196425
473,Dera Ismail Khan,31.8322,70.9024,rice,clay loam,1.89,Kharif,27.8,554.1,207,NPK,157,4.0,46267
474,Muzaffarabad,34.3702,73.4711,maize,sandy loam,1.49,Kharif,22.3,358.5,112,NPK,165,4.4,17165
